id,timestamp,x_acel_l,y_acel_l,z_acel_l,x_gyro_l,y_gyro_l,z_gyro_l,x_mag_l,y_mag_l,z_mag_l,x_acel_r,y_acel_r,z_acel_r,x_gyro_r,y_gyro_r,z_gyro_r,x_mag_r,y_mag_r,z_mag_r
61,2024-12-01 20:04:10.026,-0.66,-1.57,1.55,-28.38,-4.82,55.6,2.6,14.75,24.0,-1.61,0.36,-0.79,150.7,216.06,-27.65,36.72,4.93,18.81
62,2024-12-01 20:04:10.236,-1.18,-0.21,-0.52,-20.81,-123.54,28.6,4.46,13.55,21.51,-0.55,-0.21,-0.6,-8.18,97.6,22.95,28.64,2.26,26.16
63,2024-12-01 20:04:10.446,-1.18,0.0,0.03,-36.19,-67.44,0.73,11.57,12.23,16.52,-1.04,0.59,0.4,-78.25,1.4,-42.24,24.73,10.38,27.75
64,2024-12-01 20:04:10.656,-1.99,-0.64,-0.62,126.65,138.79,-37.4,2.36,18.73,20.37,-0.93,-0.08,-0.19,35.22,-110.23,-21.12,29.81,7.75,26.34
65,2024-12-01 20:04:11.068,-0.03,-0.41,-0.85,-58.53,23.99,34.36,-1.11,16.49,23.72,-1.54,0.56,1.88,42.6,243.84,-28.99,36.71,5.81,18.96
66,2024-12-01 20:04:11.174,-0.93,1.12,-0.92,32.96,-87.52,-18.92,0.99,14.5,22.68,-1.0,0.17,-0.32,-70.86,172.91,69.64,30.1,2.34,23.94
67,2024-12-01 20:04:11.480,-1.05,0.11,-0.03,16.6,-61.46,-2.69,9.29,12.89,17.29,-0.93,1.03,1.5,-141.17,24.35,29.24,22.25,9.74,26.99
68,2024-12-01 20:04:11.686,-1.21,0.42,-0.95,-90.52,140.14,-75.0,3.92,18.96,17.76,-1.02,0.37,-0.05,-21.06,-84.9,-4.7,23.89,7.89,25.37
69,2024-12-01 20:04:12.098,-0.24,-0.33,-0.73,31.01,156.01,-78.61,-1.17,16.47,18.66,-1.3,-0.22,1.13,73.36,89.78,15.2,29.96,7.08,19.65
70,2024-12-01 20:04:12.204,-0.25,-0.54,-0.85,-53.34,-61.58,35.34,3.72,14.7,17.44,-1.45,0.25,-0.52,-29.97,178.22,91.13,28.87,7.26,16.88
71,2024-12-01 20:04:12.510,-1.14,0.22,-0.28,-6.77,-71.17,-2.5,12.89,9.7,11.83,-1.49,0.04,2.17,56.82,46.39,55.18,32.45,9.25,26.66
72,2024-12-01 20:04:12.717,-1.5,0.09,1.57,-144.84,104.68,-2.3,16.5,11.91,14.88,-0.59,-0.19,-0.63,90.7,-36.44,39.55,32.71,10.44,27.8
73,2024-12-01 20:04:13.128,-0.69,-0.28,-0.66,155.33,-16.36,-1.1,3.93,13.68,26.9,-1.57,-0.01,-0.15,52.8,0.67,-9.89,41.08,6.67,16.2
74,2024-12-01 20:04:13.234,-0.79,0.0,0.49,66.28,-29.79,69.64,3.14,15.82,24.8,-1.84,0.23,-1.55,251.71,126.4,-7.08,36.35,3.98,21.56
75,2024-12-01 20:04:13.441,-0.96,0.22,-0.03,18.01,-111.33,8.24,10.49,12.13,19.49,-0.27,-0.08,-0.94,-215.27,-12.02,46.2,27.45,3.45,27.48
76,2024-12-01 20:04:13.747,-1.36,0.28,-0.08,-84.47,5.13,5.43,12.95,11.95,15.66,-2.5,1.21,0.36,-206.42,14.59,-24.6,27.15,7.31,26.42
77,2024-12-01 20:04:14.053,-0.84,0.15,-0.48,32.78,50.54,-48.16,0.98,17.82,21.75,-1.38,-0.21,0.15,14.4,-57.86,13.67,37.71,6.43,19.35
78,2024-12-01 20:04:14.264,-0.26,-1.82,1.48,-128.91,-48.65,45.6,1.51,16.72,23.1,-1.57,0.37,-0.61,116.09,205.75,-32.71,35.61,3.87,21.04
79,2024-12-01 20:04:14.470,-0.89,0.02,-0.15,-6.41,-120.73,31.8,7.84,13.61,20.74,-0.61,-0.24,-0.85,-76.11,74.58,30.82,29.31,-0.01,24.66
80,2024-12-01 20:04:14.776,-1.21,-0.21,0.18,-51.39,-16.78,16.05,11.88,12.18,17.03,-0.99,0.53,0.79,388.06,-79.41,39.25,27.45,8.02,27.12
81,2024-12-01 20:04:14.982,-1.36,-0.33,-0.28,-8.24,122.56,-79.53,1.6,17.41,19.84,-1.06,-0.19,-0.23,29.79,-133.36,10.01,31.74,5.85,24.77
82,2024-12-01 20:04:15.394,-0.72,-0.22,-0.16,107.3,12.39,49.26,1.22,15.65,21.17,-2.09,0.09,-1.5,190.86,185.18,-12.15,36.6,4.05,18.43
83,2024-12-01 20:04:15.501,-0.86,-0.11,-0.66,-10.01,-111.76,24.7,5.48,12.35,19.46,-0.76,-0.32,-0.37,10.19,124.51,44.07,30.49,0.61,24.43
84,2024-12-01 20:04:15.810,-1.13,0.0,-0.01,-21.36,-50.35,2.2,11.4,10.61,15.08,-0.94,0.19,0.08,-50.96,20.02,-15.81,26.88,7.28,27.81
85,2024-12-01 20:04:16.016,-2.08,0.73,-1.6,94.6,163.76,-50.9,5.22,16.1,20.04,-1.08,0.14,-0.31,8.12,-96.37,0.55,31.54,4.9,26.16
86,2024-12-01 20:04:16.430,-0.15,-0.42,-0.75,14.47,50.6,58.04,-0.49,12.3,24.57,-1.75,0.35,-1.27,223.69,167.79,-15.32,34.81,1.66,20.75
87,2024-12-01 20:04:16.536,-1.01,-0.04,-0.17,0.49,-114.14,35.58,3.02,12.0,20.9,-0.9,-0.3,-0.22,10.56,133.97,30.94,29.71,0.02,22.9
88,2024-12-01 20:04:16.842,-1.18,0.08,-0.1,-4.27,-72.88,-5.62,10.39,8.35,17.93,-1.1,1.06,1.63,-171.45,39.31,41.44,24.45,5.62,24.76
89,2024-12-01 20:04:17.048,-1.89,0.47,-1.42,93.87,161.25,-43.82,3.97,14.78,18.53,-1.15,-0.14,-0.33,8.12,-98.33,-14.1,29.88,5.32,24.17
90,2024-12-01 20:04:17.462,-0.22,-0.31,-0.72,-118.1,85.08,-33.2,0.84,13.77,24.29,-1.79,-0.35,0.66,64.09,63.78,8.97,37.38,5.09,16.15
91,2024-12-01 20:04:17.568,-0.66,0.46,-1.35,-54.57,-64.76,-0.85,2.39,14.36,21.73,-1.05,0.17,-0.43,-45.72,181.64,87.95,33.5,1.68,22.05
92,2024-12-01 20:04:17.774,-0.84,-0.05,0.03,-66.41,-87.59,13.73,9.83,10.85,18.81,-1.38,0.32,1.1,-42.54,13.18,15.81,27.64,7.71,25.9
93,2024-12-01 20:04:18.080,-1.2,0.05,1.69,-62.68,98.51,-18.98,8.94,14.34,17.88,-1.0,0.52,-0.2,-15.01,-67.63,-2.08,27.93,5.55,25.23
94,2024-12-01 20:04:18.492,-0.33,-0.2,-0.71,97.53,-34.06,-2.14,-0.01,15.12,23.86,-1.5,0.85,1.58,55.6,215.94,-25.7,37.3,5.92,16.48
95,2024-12-01 20:04:18.598,-1.34,1.2,-1.18,12.08,-51.09,-21.48,3.54,13.77,21.48,-1.4,0.01,-0.52,-21.48,171.69,92.9,34.06,3.12,20.34
96,2024-12-01 20:04:18.904,-0.83,-0.02,0.11,-54.69,-88.68,13.37,9.56,11.35,17.24,-2.52,0.37,2.18,96.5,140.81,-3.6,26.54,8.33,24.43
97,2024-12-01 20:04:19.110,-1.49,0.05,1.96,-153.14,143.49,7.87,8.14,13.54,15.47,-1.19,0.4,-0.22,-16.78,-97.23,9.16,29.09,7.82,23.19
98,2024-12-01 20:04:19.621,-0.5,-0.1,-0.64,-94.54,-14.59,32.41,0.33,16.81,21.37,-1.62,0.66,1.75,44.98,260.99,-25.21,36.1,7.48,17.16
99,2024-12-01 20:04:19.727,-0.81,1.26,-1.54,62.07,-91.0,-12.51,4.2,15.65,19.49,-1.5,0.22,-0.54,4.7,188.6,98.63,31.51,4.64,21.98
100,2024-12-01 20:04:19.933,-1.03,-0.12,-0.03,-51.21,-92.47,10.5,9.59,12.52,15.73,-1.38,0.47,0.69,88.62,69.58,12.63,26.5,9.52,24.89
101,2024-12-01 20:04:20.140,-1.31,0.33,1.67,-115.66,137.63,-6.7,8.13,14.83,15.81,-1.17,0.03,-0.13,-20.81,-74.4,-5.07,29.52,8.41,24.1
102,2024-12-01 20:04:20.552,-0.37,-0.15,-0.69,121.09,-19.23,-6.9,1.88,17.86,23.34,-1.56,-0.32,0.38,56.88,21.67,-10.5,39.17,7.84,15.93
