Timestamp,xAcel_L,yAcel_L,zAcel_L,xGyro_L,yGyro_L,zGyro_L,xMag_L,yMag_L,zMag_L,azimuth_L,xAcel_R,yAcel_R,zAcel_R,xGyro_R,yGyro_R,zGyro_R,xMag_R,yMag_R,zMag_R,azimuth_R
2024-11-10 20:56:20,0.11,0.61,-2.45,58.17,-118.71,31.07,50.78,-24.52,18.35,335,-0.69,-0.03,-0.32,9.95,73.97,24.05,20.09,11.93,21.73,30
2024-11-10 20:56:21,-1.16,-0.26,0.44,-76.42,-5.31,44.56,52.66,-29.41,10.01,331,-0.78,0.16,-0.38,26.73,-68.73,-20.14,28.26,14.22,17.41,26
2024-11-10 20:56:22,-0.89,-0.09,-0.08,-18.55,-58.04,37.29,48.46,-15.99,14.82,342,-0.49,-0.22,-1.00,73.06,-46.88,5.31,18.54,15.91,22.17,40
2024-11-10 20:56:23,-0.77,0.07,-0.32,-2.93,61.28,-90.21,43.84,-14.25,19.60,342,-1.12,0.46,-0.57,-42.91,235.47,-49.38,27.01,14.34,18.03,27
2024-11-10 20:56:24,-1.54,0.23,0.03,-18.19,219.73,34.55,50.09,-31.68,11.66,328,-0.85,0.01,-0.20,4.09,-103.88,-6.29,23.06,14.76,20.48,32
2024-11-10 20:56:25,-0.49,0.06,0.32,73.06,-44.25,8.79,38.95,-15.77,20.96,338,-0.21,0.09,-0.48,-79.53,-9.34,56.15,15.80,12.45,22.25,38
2024-11-10 20:56:26,-0.29,0.01,-0.46,106.69,-12.94,-29.1,37.62,-12.98,19.73,341,-1.21,0.19,-0.17,29.42,-7.75,-17.70,26.39,14.34,16.39,28
2024-11-10 20:56:27,-0.82,0.17,-0.08,-13.31,-87.34,26.92,43.70,-17.21,18.95,339,-0.66,-0.51,-0.21,-122.44,-14.22,3.23,18.64,17.00,19.17,42
2024-11-10 20:56:28,-3.99,-0.24,0.77,336.67,161.44,-66.1,50.62,-18.88,22.67,340,-0.64,-0.11,-0.27,12.82,97.96,29.60,19.56,14.31,21.86,36
2024-11-10 20:56:29,-1.02,0.20,-0.30,-1.53,-34.48,40.10,50.17,-20.29,12.40,338,-0.89,0.05,-0.21,6.59,-112.12,-8.79,20.61,16.20,20.25,38
2024-11-10 20:56:30,-0.33,0.09,-0.40,-10.99,-85.21,21.18,44.67,-13.28,19.65,344,-0.48,0.44,-0.53,-73.30,-56.95,47.61,17.15,17.09,20.95,44
2024-11-10 20:56:31,-1.56,-0.38,0.24,111.27,159.97,-84.5,51.11,-28.19,15.47,332,-1.25,0.11,-0.37,25.15,-8.12,-19.35,29.04,17.40,14.38,30
2024-11-10 20:56:32,-1.39,0.18,-0.21,-28.93,-27.89,50.54,50.32,-19.97,7.80,339,-1.20,0.88,-0.28,21.36,-102.42,18.43,21.40,16.56,21.09,37
2024-11-10 20:56:33,-0.34,-0.35,-0.59,65.92,-38.39,-21.06,42.57,-11.65,18.99,345,-0.86,0.14,-0.22,37.11,102.97,23.32,20.00,15.84,20.83,38
2024-11-10 20:56:34,-1.25,-0.49,-0.09,6.16,107.67,-107.85,48.27,-23.10,18.57,335,-0.84,0.12,-0.10,27.95,-58.84,-2.81,27.31,17.44,18.49,32
2024-11-10 20:56:35,-0.03,1.24,-2.09,7.39,-87.22,51.21,48.01,-18.74,18.58,339,-1.37,0.29,0.97,23.38,-58.41,58.23,19.31,17.81,22.73,42
2024-11-10 20:56:36,-1.78,0.22,0.11,-20.75,-54.20,-14.7,43.18,-12.11,19.70,345,-1.52,0.12,0.19,20.14,14.77,-6.77,29.74,16.44,14.95,28
2024-11-10 20:56:37,-0.99,0.10,0.07,-23.50,-75.74,26.06,47.00,-14.92,17.04,343,-0.43,-0.19,-0.70,-65.25,-55.48,27.28,19.78,16.48,21.98,39
2024-11-10 20:56:38,-0.82,0.11,-0.09,-23.62,-77.39,5.86,48.71,-14.94,21.41,343,-2.82,0.44,2.82,41.69,33.39,64.58,19.91,14.82,22.50,36
2024-11-10 20:56:39,-1.62,-0.58,0.19,100.71,161.56,-92.1,49.62,-31.13,17.16,328,-1.59,0.08,0.12,10.25,10.56,-5.43,30.19,15.66,16.43,27
2024-11-10 20:56:40,-1.31,0.32,-0.05,-24.23,-33.75,50.60,52.56,-20.76,10.60,339,-0.45,-0.29,-0.64,14.16,-95.83,57.19,19.82,15.56,22.55,38
2024-11-10 20:56:41,-0.25,-0.51,-0.69,4.58,-68.85,-8.48,43.26,-12.07,19.92,345,-1.03,-0.03,-0.06,76.48,99.61,48.10,22.55,14.82,20.18,33
2024-11-10 20:56:42,-0.88,-0.33,-0.24,1.04,107.73,-90.33,48.43,-21.80,24.16,336,-0.90,0.18,-0.58,8.18,-76.05,-24.05,28.52,15.21,16.91,28
